trade_date,trade_time_utc,equity_open,equity_close,pnl_close_to_close,ret_close_to_close,trades,planned_notional,executed_notional,cap_dollars,trade_pnl_to_close_sum
2026-01-08,2026-01-08T14:30:00+00:00,65728.66,64938.525,-790.135000000002,,3,56164.865,1293.165,1314.5732,35.955000000000084
2026-01-09,2026-01-09T14:30:00+00:00,66165.235,62212.185,-2726.340000000004,-0.041983398914588896,3,55137.63,1314.975,1323.3047000000001,-0.04499999999998039
2026-01-12,2026-01-12T14:30:00+00:00,61800.235,63884.195,1672.010000000002,0.02687592470831883,3,50122.595,1209.13,1236.0047,14.460000000000052
2026-01-13,2026-01-13T14:30:00+00:00,65193.31,63848.51,-35.68499999999767,-0.0005585888653679939,3,51743.020000000004,1274.5,1303.8662,-44.155
2026-01-14,2026-01-14T14:30:00+00:00,62649.259999999995,67108.045,3259.534999999996,0.05105107386217777,3,48472.195,1240.225,1252.9851999999998,24.275000000000034
2026-01-15,2026-01-15T14:30:00+00:00,67925.895,63652.095,-3455.949999999997,-0.051498296515715775,3,51656.159999999996,1353.7,1358.5179,-57.13000000000001
2026-01-16,2026-01-16T14:30:00+00:00,64151.585,64148.16500000001,496.070000000007,0.007793459115524901,3,47366.93,1254.9,1283.0317,39.520000000000024
2026-01-20,2026-01-20T14:30:00+00:00,61369.725000000006,59633.355,-4514.810000000005,-0.07038096880869475,3,43623.77,1206.33,1227.3945,30.92000000000004
2026-01-21,2026-01-21T14:30:00+00:00,60968.354999999996,56970.47,-2662.885000000002,-0.044654287856183875,3,41768.72,1189.99,1219.3671,-45.55999999999999
2026-01-22,2026-01-22T14:30:00+00:00,58620.86500000001,60591.67500000002,3621.2050000000163,0.06356284229356043,3,38881.36,1165.0,1172.4173000000003,-2.570000000000004
2026-01-23,2026-01-23T14:30:00+00:00,59625.22500000001,55635.970000000016,-4955.705000000002,-0.08178854603375794,3,38753.284999999996,1170.735,1192.5045000000002,-45.67499999999995
2026-01-26,2026-01-26T14:30:00+00:00,55089.83000000001,50923.095000000016,-4712.875,-0.08470913691268434,3,34273.245,1074.075,1101.7966000000001,-28.575000000000042
2026-01-27,2026-01-27T14:30:00+00:00,53299.47500000001,53074.83000000001,2151.7349999999933,0.04225459980388059,3,32028.695,1053.605,1065.9895000000004,-2.5199999999999774
2026-01-28,2026-01-28T14:30:00+00:00,53184.890000000014,53510.41000000002,435.580000000009,0.0082069033475945,3,31037.97,1040.76,1063.6978000000004,-8.140000000000008
2026-01-29,2026-01-29T14:30:00+00:00,52358.29000000002,49263.635000000024,-4246.774999999994,-0.07936352945155892,3,29586.025,1030.81,1047.1658000000004,-39.130000000000024
2026-01-30,2026-01-30T14:30:00+00:00,49269.36000000002,44338.315000000024,-4925.32,-0.09997881804702388,3,26509.490000000005,966.5200000000001,985.3872000000005,-48.34500000000001
2026-02-02,2026-02-02T14:30:00+00:00,44818.105000000025,43434.890000000014,-903.4250000000102,-0.02037571793154543,3,22279.500000000004,884.5899999999999,896.3621000000005,-22.810000000000027
2026-02-03,2026-02-03T14:30:00+00:00,45169.11000000002,45435.92000000002,2001.030000000006,0.046069645853828695,3,21899.239999999998,889.3299999999999,903.3822000000005,34.34000000000006
2026-02-04,2026-02-04T14:30:00+00:00,45059.040000000015,42642.860000000015,-2793.060000000005,-0.06147250897527779,3,20261.920000000002,886.19,901.1808000000003,-2.544999999999966
2026-02-05,2026-02-05T14:30:00+00:00,40239.485000000015,34538.845000000016,-8104.014999999999,-0.19004389011431214,3,15489.095,789.595,804.7897000000003,-37.32999999999997
2026-02-06,2026-02-06T14:30:00+00:00,36303.175000000025,43242.14500000002,8703.300000000003,0.2519858437651867,3,12003.765,714.6400000000001,726.0635000000005,34.00999999999994
2026-02-09,2026-02-09T14:30:00+00:00,42404.42500000002,44176.23500000003,934.0900000000111,0.021601379857544317,3,16588.684999999998,837.74,848.0885000000004,-2.969999999999942
2026-02-10,2026-02-10T14:30:00+00:00,42947.22500000003,41811.26500000003,-2364.970000000001,-0.053534892686078826,3,16576.43,849.34,858.9445000000005,-14.399999999999975
2026-02-11,2026-02-11T14:30:00+00:00,41777.065000000024,39622.18500000003,-2189.0800000000017,-0.0523562250508326,3,15271.935000000001,828.665,835.5413000000005,-3.1200000000000685
2026-02-12,2026-02-12T14:30:00+00:00,39417.670000000035,36382.270000000026,-3239.915000000001,-0.08177022544314501,3,12885.939999999999,780.98,788.3534000000008,-23.570000000000032
2026-02-13,2026-02-13T14:30:00+00:00,37275.39000000002,39467.60000000003,3085.3300000000017,0.08480311976135628,3,10520.91,725.935,745.5078000000004,21.250000000000004
2026-02-17,2026-02-17T14:30:00+00:00,37786.175000000025,35961.86500000003,-3505.7350000000006,-0.08882564432597873,3,9830.369999999999,742.44,755.7235000000005,-6.039999999999949
2026-02-18,2026-02-18T14:30:00+00:00,36063.17000000003,37982.20000000002,2020.3349999999919,0.05617992837690677,3,8218.875,705.4950000000001,721.2634000000006,26.814999999999955
2026-02-19,2026-02-19T14:30:00+00:00,36460.610000000015,38973.91500000002,991.7150000000038,0.026109993628594532,3,7294.7300000000005,705.2149999999999,729.2122000000003,17.65499999999995
2026-02-20,2026-02-20T14:30:00+00:00,39120.56500000002,36062.335000000014,-2911.580000000009,-0.07470586416581468,3,6901.15,763.0,782.4113000000003,-30.849999999999945
